,Date,number of flights,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide
0,2004,469786.0,0.8174028579925703,50.48542333803122,50.84759384532078,134.37796484281202,31.62842598790504,28.02264972395538,26.43231135727588,12.2483558106425,4.155740473629969
1,2005,472041.0,0.8392115285668963,49.43905751839656,47.59732334288141,128.40552216974433,34.42601047706647,29.189345081336413,25.764295038622684,12.105307275202696,4.029333474825582
2,2006,470891.0,0.5013910806898613,41.027344243459225,46.4019275979872,112.24793947835276,41.626835958636,27.311610241039354,25.90212130010352,12.929494478950998,3.0333280360619392
3,2007,475789.0,0.5391916818669604,45.72990925910205,46.472179700690724,119.45842789010977,31.76443718720892,26.70115500296141,26.473562421295263,13.293053087253721,2.6966763436472205
4,2008,473207.0,,40.84054962699075,46.389379068645,113.19823591788318,36.52743372248239,27.137784100238555,23.820121185762172,9.663251238082019,2.80684266907085
5,2009,460178.0,,38.04234970123419,46.47841524313919,106.6648953855113,34.44903615759541,25.622636815288143,23.748885705232066,9.86844515587707,7.9717894578029025
6,2010,449271.0,,32.643407485623364,42.9526300228636,92.88141709662344,48.70446493924756,24.063699042250658,21.2937498974638,9.491281239409211,0.8519104084321476
7,2011,476295.0,,34.46007316438599,42.88679730253079,97.38523127569641,31.619417835477595,19.084606290466702,24.91838284319085,11.238434132461851,-0.019038912575752028
8,2012,471382.0,,42.47640685450005,43.07258728555663,109.84288661361906,31.53995588994994,23.91549859262039,20.82588014409068,8.59516415766024,2.173683352033509
9,2013,469564.0,,42.81351359211836,43.94926928985534,113.76668817399523,34.60202533864623,26.847779328196744,22.727336984614507,9.734342635001461,1.6016065972828608
10,2014,470708.0,,42.56400003794261,42.486724469639306,110.2722204289658,34.73975631668715,24.561485050362847,21.32522857788094,8.845459043264858,1.858234573189595
11,2015,472058.0,,35.804772522254936,39.88429942059778,96.6413842309754,36.509611695960714,21.98325058880276,18.93107329429504,8.040034847403996,1.491848415887222
12,2016,473199.0,,44.262821870941984,41.585783409950935,111.93009771741049,31.746313582504825,22.532048769613063,19.54386206263865,8.32646681812866,1.5317856937154868
13,2017,476186.0,,39.159836481232226,40.74422216300565,102.99050494806008,31.39444948514381,21.728613748432746,18.34788839433012,8.088831218252126,1.0608677094868952
14,2018,480339.0,,27.60206599059876,35.43611622807119,78.5365428233498,36.821549241524295,19.87063618445889,18.876481195582745,7.8786129109688785,1.206037225908149
15,2019,479811.0,,24.36606116161392,33.79708822826681,69.68273823400304,22.458061517232377,19.630715810627894,17.166189885552562,7.945292151259446,1.8199897268994776
